,job_id,title,rating,company,reviews,salary,location,skills,from_date,min_experience
0,0,Data Analyst,3.9,Realpage,323,0,None,"('Data Validation', 'Data Analysis', 'Data Cleansing', 'Data Collection', 'Excel', 'SQL', 'Analysis', 'Data')",1 Day,100
1,1,Hiring For Data Analyst role,3.4,Estee Advisors,28,0,"Gandhinagar, Gujarat","('c++', 'Data Analytics', 'Data Science', 'fresher', 'Data Analysis', 'Data Mining', 'Data Extraction', 'sql')",23 Days,0
2,2,Data Analyst,3.6,Dun & Bradstreet,231,400000,"Navi Mumbai, Maharashtra","('excel', 'communication skills', 'Data', 'Data analysis')",7 Days,1
3,3,Data Analyst,4.3,Digital Green,9,0,"New Delhi, Bangalore/Bengaluru","('Data analysis', 'Automation', 'Manager Quality Assurance', 'Data management', 'IVR', 'Business analytics', 'Analytical', 'Data collection')",6 Days,1
4,4,Data Analyst,0.0,Peopleplease Consulting,0,100000,Mumbai (All Areas),"('Data Extraction', 'Data reporting', 'Python', 'looker studio', 'Tableau Reporting', 'Data Processing', 'data visualization', 'Extraction')",1 Day,0
5,5,Opportunity For RRT Analyst - NTT DATA Services,3.9,NTT DATA Business Solutions Private Limited,502,0,"Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Bangalore/Bengaluru","('DNS', 'VDI', 'Group Policy', 'citrix', 'Active Directory', 'MS Exchange', 'GPO', 'Citrix Server')",4 Days,1
6,6,Data Analyst,5.0,Micron Software,2,0,"Jamnagar, Ahmedabad, Rajkot, Surat, Vadodara","('Supply chain', 'Data analysis', 'Operational excellence', 'Web analytics', 'Analytical', 'Data collection', 'microsoft', 'Continuous improvement')",6 Days,1
7,7,Data Analyst,3.3,Xenonstack,128,0,Mohali,"('Mining', 'Data analysis', 'Manager Quality Assurance', 'SAS', 'Diagnostics', 'Analytical', 'Programming', 'data visualization')",3 Days,1
8,8,Data Analyst (WFO),0.0,BLJ Tech Geeks,0,300000,"Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu","('SQL Development', 'Data Analysis', 'TSQL', 'SSAS', 'SSIS', 'Development', 'T-SQL', 'Ssa')",4 Days,1
9,9,Data Analyst,2.5,Zenheal Wellness,15,400000,Bangalore/Bengaluru,"('Data Analytics', 'Insights', 'Power Bi', 'Data Extraction', 'Advanced Excel', 'Tableau', 'SQL', 'Metabase')",14 Days,1
10,10,Data Analyst,4.0,Persolkelly India,71,0,Bangalore/Bengaluru,"('Google Analytics', 'Publishing', 'Analytical', 'SSRS', 'Scheduling', 'Data quality', 'SSIS', 'Business intelligence')",15 Days,1
