job_id,skills
0,Data Validation
0,Analytics skills
0,Data Cleansing
0,Data Collection
0,Excel
0,SQL
0,Analytics skills
0,Data
1,c++
1,Analytics skills
1,Data Science
1,fresher
1,Analytics skills
1,Data Mining
1,Data Extraction
1,sql
2,excel
2,communication skills
2,Data
2,Analytics skills
3,Analytics skills
3,Automation
3,Manager Quality Assurance
3,Data management
3,IVR
3,Analytics skills
3,Analytics skills
3,Data collection
4,Data Extraction
4,Data reporting
4,Python
4,looker studio
4,Tableau Reporting
4,Data Processing
4,data visualization
4,Extraction
5,DNS
5,VDI
5,Group Policy
5,citrix
5,Active Directory
5,MS Exchange
5,GPO
5,Citrix Server
6,Supply chain
6,Analytics skills
6,Operational excellence
6,Analytics skills
6,Analytics skills
6,Data collection
6,microsoft
6,Continuous improvement
7,Mining
7,Analytics skills
7,Manager Quality Assurance
7,SAS
7,Diagnostics
7,Analytics skills
7,Programming
7,data visualization
8,SQL Development
8,Analytics skills
8,TSQL
8,SSAS
8,SSIS
8,Development
8,T-SQL
8,Ssa
9,Analytics skills
9,Insights
9,Power Bi
9,Data Extraction
9,Advanced Excel
9,Tableau
9,SQL
9,Metabase
10,Analytics skills
10,Publishing
10,Analytics skills
10,SSRS
10,Scheduling
10,Data quality
10,SSIS
10,Business intelligence
11,SQL
11,Analytics skills
11,SAS
11,Coding
11,Process improvement
11,XML
11,Javascript
11,Data collection
12,Analytics skills
12,data mining
12,XML
12,JavaScript
12,SQL
12,Fintech
12,Data
12,Analytics skills
13,Analytics skills
13,SAS
13,Coding
13,Process improvement
13,XML
13,Javascript
13,Data collection
13,SPSS
14,data models
14,database design development
14,ETL frameworks
14,Excel
14,SAS
14,data mining
14,XML
14,Javascript
15,SQL
15,database design
15,Analytics skills
15,SAS
15,XML
15,JavaScript
15,SPSS
15,Data mining
16,Analytics skills
16,Excel
16,Database design
16,Analytics skills
16,Process improvement
16,Data collection
16,Information management
16,Data mining
17,Analytics skills
17,Analytics skills
17,Backend
17,Excel
17,Analytics skills
17,Wealth management
17,Report writing
17,Data quality
18,Analytics skills
18,Usage
18,Excel
18,Data collection
18,Database
18,Analytics skills
18,data visualization
18,Troubleshooting
19,Nutrition
19,Coding
19,CRC
19,Analytics skills
19,Research
19,Bioinformatics
19,Python
19,Analytics skills
20,Analytics skills
20,Data management
20,Database design
20,Analytics skills
20,Machine learning
20,Algorithm development
20,Forecasting
20,Information technology
21,Microstrategy
21,Analytics skills
21,SAS
21,Analytics skills
21,Analytics skills
21,Business intelligence
21,Analytics skills
21,Reporting tools
22,Data Entry
22,data mining
22,Data maintenance
22,Analytics skills
22,Data processing
22,Analytics skills
22,Process
22,Analytics skills
23,Automation
23,Pharma
23,Project management
23,Analytics skills
23,power bi
23,Market research
